,Unnamed: 0,model,pre_len,mse,mae,r2
0,lr_5min,lr,5,0.0028325437230293984,0.03323791585825686,0.9147170731159924
1,lstm_5min,lstm,5,0.0030392531490070424,0.036510189371502064,0.9085286107793594
2,tgcn_5min,tgcn,5,0.0028000888729964642,0.03572778730728362,0.9167359549927696
3,tgcn_wx_5min,tgcn-wx,5,0.0029247217895337213,0.035184333431631735,0.9123682663020936
4,lr_15min,lr,15,0.004629787463536733,0.04600379668724708,0.8604385860740608
5,lstm_15min,lstm,15,0.004654467415489811,0.04601818482058982,0.8584992868582919
6,tgcn_15min,tgcn,15,0.004589890749446723,0.04730319779912933,0.8612634203811751
7,tgcn_wx_15min,tgcn-wx,15,0.004564078197488599,0.04714579029460456,0.8641360640408275
8,lr_30min,lr,30,0.005088395253037605,0.048933957785775715,0.845004613348847
9,lstm_30min,lstm,30,0.00525627555801177,0.05019116116238255,0.8455248267985592
10,tgcn_30min,tgcn,30,0.004733562529618112,0.04769381049034912,0.8578163825412503
11,tgcn_wx_30min,tgcn-wx,30,0.004829954343393904,0.04722480534269728,0.8550015447559179
12,lr_60min,lr,60,0.005688980542134652,0.05144193424857883,0.8234712973965563
13,lstm_60min,lstm,60,0.005429234426941463,0.050151852573097004,0.8318707764141047
14,tgcn_60min,tgcn,60,0.005298537211085706,0.049731257980165484,0.8389262027113157
15,tgcn_wx_60min,tgcn-wx,60,0.005288426128362568,0.04962819835127285,0.8411698251844795
